Week,What is the EU?,How much does the UK pay to the EU?,What happens if the UK leaves the EU?,How many countries are in the EU?,How do I vote in the EU elections?,How much does each country pay to the EU?,Why should the UK stay in the EU?,When was the EU formed?,Will the UK leave the EU?,Why should the UK leave the EU?
11/29/2015,82.527608,3.920774,2.013442,15.695283,,1.63213,2.359517,1.304791,5.628966,6.774088
12/06/2015,84.834126,5.406369,2.04785,13.528281,,1.526779,2.359517,4.049078,7.71601,2.816279
12/13/2015,85.950687,5.632305,1.859846,8.455728,,1.301774,1.875825,1.406266,8.185933,4.867265
12/20/2015,63.731468,4.853742,1.859846,8.09409,,1.301774,1.875825,1.615463,18.891565,5.007172
12/27/2015,50.236586,6.089725,1.859846,3.046346,,2.623187,3.732007,1.520432,8.741253,5.147079
01/03/2016,72.674506,5.178766,7.42943,16.844668,,3.893552,1.851104,2.586055,5.592416,3.897577
01/10/2016,138.055548,9.069489,13.140042,16.865372,,2.483591,1.851104,2.588056,9.331531,7.908768
01/17/2016,131.779257,14.40188,10.645653,15.722885,,2.562567,12.467861,2.61484,9.416772,10.394911
01/24/2016,104.166333,14.188353,10.645653,11.617535,,7.8259,5.484771,1.287821,12.80041,23.562939
01/31/2016,142.147569,23.57688,9.157111,8.68817,,8.868375,16.872634,4.953173,31.981454,6.4053
02/07/2016,110.983286,20.569339,35.461653,15.427499,,2.500925,34.978718,8.977665,24.069501,33.601491
02/14/2016,189.849853,69.238089,84.622157,24.792202,,2.535235,12.567982,6.511279,37.232878,60.481267
02/21/2016,338.850045,114.39309,16.356103,36.739574,,5.086977,16.388934,13.896395,116.584534,33.421403
02/28/2016,204.868508,52.251562,10.95384,23.635317,,2.630942,21.970922,3.721538,46.740543,19.025046
03/06/2016,134.449586,39.825687,12.738857,30.851876,,2.630942,9.346359,2.564359,36.34079,29.241365
03/13/2016,129.935805,29.452866,9.349174,21.78291,,1.295549,1.917923,2.555719,34.77223,28.578007
03/20/2016,138.846997,23.381065,5.722091,11.691198,,1.278413,9.206471,5.184802,39.427156,11.834355
03/27/2016,105.286012,25.135269,22.238472,17.202668,,2.631768,16.585329,9.246624,24.894998,16.846879
04/03/2016,123.969252,29.820937,9.335764,14.27012,,5.162619,24.647738,3.882204,42.572365,36.917939
04/10/2016,234.159762,43.186377,13.19524,31.768595,,2.720987,24.457353,5.067328,35.044745,28.909962
04/17/2016,225.158082,60.423897,13.081345,22.319802,,2.690125,9.712624,18.346006,52.981312,24.535687
04/24/2016,214.693117,23.214271,9.746845,36.144166,,6.678936,17.654389,5.15017,29.881406,24.531024
05/01/2016,191.97991,17.70357,19.480603,25.894081,,0,25.24937,6.798109,42.681433,29.757933
05/08/2016,243.837538,35.203191,35.03885,24.388245,,,17.090121,12.16705,54.636759,45.836081
05/15/2016,256.437101,73.075076,27.17556,36.473927,,,,14.820788,68.009717,61.559661
05/22/2016,332.492255,124.109084,,61.955221,,,,16.647638,91.638924,
